Inlet axial velocity	Flow coefficient at midspan	Turbine inlet pressure	Turbine inlet density	Incidence angle at midspan	Lift coefficient at midspan	Drag coefficient at midspan	CIF at midspan	Axial force coefficient	Tangential force coefficient	Torque	Power	Static-to-static pressure drop	Total-to-static pressure drop	Input coefficient	Torque coefficient	Efficiency
-16	-0.194017454	101325	1.224978126	0.19163655	-1.028197683	0.018431322	1.028197683	-1.570532082	-0.275598993	13.22030249	4983.93662	-4018.307777	-4175.104977	1.621089017	0.27316487	86.85147154
-15	-0.181891364	101325	1.224978126	0.179924339	-1.001177914	0.017222964	1.001177914	-1.532097625	-0.251532059	12.09279837	4558.877583	-3927.017588	-4064.827627	1.585234921	0.250970283	87.03954066
-14	-0.169765273	101325	1.224978126	0.168162014	-0.964655303	0.016113341	0.964655303	-1.478830829	-0.225712074	10.84924563	4090.069244	-3788.616286	-3908.664143	1.530651006	0.226095209	87.00942984
-13	-0.157639182	101325	1.224978126	0.156352528	-0.919360019	0.015091578	0.919360019	-1.411770512	-0.198861108	9.542477788	3597.429374	-3609.776123	-3713.286775	1.459773473	0.199632904	86.75259728
-12	-0.145513091	101325	1.224978126	0.14449891	-0.864517515	0.014134472	0.864517515	-1.329664887	-0.171336603	8.219092656	3098.524933	-3397.236608	-3485.435033	1.375132503	0.172566076	86.24001227
-11	-0.133387	101325	1.224978126	0.132604261	-0.803856975	0.013217195	0.803856975	-1.238189139	-0.144482877	6.927725304	2611.690911	-3160.606671	-3234.717848	1.280456007	0.145936157	85.44462346
-10	-0.121260909	101325	1.224978126	0.12067175	-0.739734017	0.01231642	0.739734017	-1.140953914	-0.119115968	5.71879326	2155.934267	-2913.709593	-2974.9585	1.181214527	0.120835976	84.36195904
-9	-0.109134818	101325	1.224978126	0.108704608	-0.679912094	0.011338004	0.679912094	-1.049923575	-0.096898671	4.603535472	1735.491987	-2659.040777	-2708.652392	1.078446339	0.097539551	82.87411075
-8	-0.097008727	101325	1.224978126	0.096706128	-0.609493826	0.010544579	0.609493826	-0.942214811	-0.074976391	3.565160444	1344.033823	-2386.783152	-2425.982452	0.968293649	0.075725561	80.61662423
-7	-0.084882636	101325	1.224978126	0.084679652	-0.533696531	0.009860825	0.533696531	-0.825852168	-0.054755805	2.604038416	981.699355	-2091.427008	-2121.438972	0.84859403	0.055432033	76.95590954
-6	-0.072756545	101325	1.224978126	0.072628572	-0.457744173	0.00924234	0.457744173	-0.708924863	-0.037210317	1.764976113	665.3803188	-1791.893158	-1813.942764	0.726972576	0.037642397	71.16839528
