  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0012                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     6.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000  -0.0001   0.00511   0.00067   0.0000   0.4104   0.4121
   1.000   0.1129   0.00517   0.00072  -0.0002   0.3241   0.4994
   2.000   0.2256   0.00536   0.00086  -0.0003   0.2385   0.5817
   3.000   0.3378   0.00563   0.00109  -0.0003   0.1633   0.6691
   4.000   0.4492   0.00598   0.00143  -0.0002   0.1019   0.7611
   5.000   0.5604   0.00637   0.00185   0.0001   0.0650   0.8415
   6.000   0.6706   0.00682   0.00235   0.0005   0.0438   0.9068
   7.000   0.7788   0.00737   0.00292   0.0014   0.0317   0.9537
   8.000   0.8836   0.00802   0.00356   0.0030   0.0243   0.9837
   9.000   0.9989   0.00882   0.00432   0.0019   0.0192   0.9963
  10.000   1.1218   0.00979   0.00523  -0.0011   0.0157   0.9991
  11.000   1.2261   0.01076   0.00619  -0.0002   0.0136   1.0000
  12.000   1.3203   0.01184   0.00728   0.0027   0.0119   1.0000
  13.000   1.4160   0.01310   0.00855   0.0048   0.0106   1.0000
  14.000   1.5078   0.01457   0.01006   0.0073   0.0096   1.0000
  15.000   1.5940   0.01622   0.01177   0.0104   0.0088   1.0000
  16.000   1.6698   0.01814   0.01378   0.0148   0.0082   1.0000
  17.000   1.7203   0.02066   0.01642   0.0223   0.0077   1.0000
  18.000   1.7594   0.02452   0.02044   0.0284   0.0072   1.0000
  19.000   1.7874   0.03031   0.02642   0.0318   0.0069   1.0000
  20.000   1.7896   0.04027   0.03664   0.0313   0.0066   1.0000
  21.000   1.7471   0.05773   0.05445   0.0250   0.0064   1.0000
  22.000   1.6319   0.08792   0.08514   0.0104   0.0063   1.0000
  23.000   1.4305   0.13566   0.13354  -0.0161   0.0065   1.0000
  24.000   1.2210   0.19454   0.19309  -0.0560   0.0066   1.0000
  25.000   1.1437   0.23299   0.23184  -0.0845   0.0062   1.0000
  26.000   1.1380   0.25417   0.25316  -0.1012   0.0058   1.0000
  27.000   1.1446   0.27199   0.27104  -0.1158   0.0053   1.0000
  28.000   1.1533   0.28912   0.28826  -0.1303   0.0049   1.0000
  29.000   1.1671   0.30435   0.30353  -0.1437   0.0043   1.0000
  30.000   1.1751   0.32327   0.32253  -0.1591   0.0037   1.0000
